,Time [Sec],Li7,Na23,Mg24,Al27,Si29,P31,K39,Ca43,Ca44,Ti47,Mn55,Fe57,Cu65,Ga71,Sr88,Y89,Ba138,Ce140,Pb208,Dist from rim,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,SrO,Si,Ti,Al,Fe,Mg,Ca,Na,K,Sr,An
1541,,13.59,39019.82,188.83,177882.01,265953.15,43.92,1368.61,74637.08,89929.47,81.66,148.07,2845.76,7.4,21.98,892.73,0.3,170.22,7.09,2.19,267.02,4.82,0.03,30.82,52.17,0.01,0.15,11.54,0.01,0.02,0.34,0.09,2.355,0.0,1.639,0.013,0.002,0.558,0.422,0.009,0.002,56.0
1542,,12.22,37046.31,137.86,162238.04,266560.75,47.92,1161.68,86822.55,88631.88,52.17,127.22,2414.34,6.13,23.43,874.5,0.08,173.21,6.09,2.19,267.6,4.73,0.02,29.01,53.96,0.01,0.13,11.73,0.01,0.02,0.29,0.1,2.444,0.0,1.549,0.011,0.001,0.569,0.415,0.008,0.003,57.0
1543,,10.46,40844.59,170.91,158910.38,263104.81,45.92,1208.74,83409.2,95921.85,73.24,123.05,3147.93,4.07,24.08,881.4,0.25,171.93,5.62,2.23,268.18,5.2,0.03,28.34,53.12,0.01,0.14,12.67,0.01,0.01,0.38,0.1,2.397,0.0,1.507,0.014,0.002,0.613,0.455,0.008,0.003,57.0
1544,,11.83,39772.74,167.47,172629.66,265512.77,35.93,1420.84,92432.56,85312.02,69.02,139.73,3515.04,3.75,24.24,817.52,0.27,172.95,6.56,2.41,268.75,4.99,0.03,30.34,52.84,0.01,0.16,11.1,0.01,0.02,0.42,0.09,2.384,0.0,1.613,0.016,0.002,0.537,0.436,0.009,0.002,55.0
1545,,8.9,37119.12,178.49,163672.5,259644.76,30.94,1135.7,92676.54,105219.77,39.54,121.66,2349.66,2.96,26.19,868.67,0.18,161.4,5.69,1.97,269.33,4.69,0.03,28.96,52.01,0.01,0.13,13.79,0.01,0.01,0.28,0.09,2.353,0.0,1.544,0.011,0.002,0.668,0.411,0.008,0.002,61.0
1546,,8.12,38464.28,153.69,168843.6,243616.86,42.93,1227.59,89993.06,94134.45,69.02,124.09,3752.7,3.12,25.21,882.46,0.13,173.55,5.82,1.92,269.9,5.03,0.02,30.92,50.52,0.01,0.14,12.77,0.01,0.02,0.47,0.1,2.274,0.0,1.641,0.018,0.001,0.616,0.439,0.008,0.003,58.0
1547,,9.1,43454.82,163.34,153764.69,258507.05,35.93,1425.08,97069.14,89451.11,47.96,117.15,2522.17,5.18,26.83,875.03,0.08,166.96,5.69,2.01,270.48,5.67,0.03,28.1,53.49,0.01,0.17,12.11,0.01,0.01,0.31,0.1,2.406,0.0,1.49,0.012,0.002,0.584,0.494,0.01,0.003,54.0
1548,,9.88,41078.26,175.05,160638.28,245537.52,67.91,1302.63,82190.42,79600.35,41.64,122.36,3018.41,6.77,25.54,942.24,0.18,172.44,5.69,2.1,271.05,5.52,0.03,30.27,52.38,0.02,0.16,11.11,0.01,0.02,0.39,0.11,2.353,0.0,1.603,0.015,0.002,0.535,0.481,0.009,0.003,52.0
1549,,9.29,38198.8,166.09,164348.5,248153.43,53.92,1181.29,87554.12,82292.91,73.24,126.18,2543.74,5.34,21.17,838.66,0.46,165.34,4.88,2.01,271.63,5.08,0.03,30.61,52.33,0.01,0.14,11.35,0.01,0.02,0.32,0.1,2.358,0.0,1.625,0.012,0.002,0.548,0.444,0.008,0.003,55.0
1550,,12.81,38735.89,184.01,149604.86,256190.83,32.94,1261.04,81215.49,92530.37,58.49,121.66,2651.58,4.23,21.01,900.35,0.27,175.87,4.88,2.15,272.2,5.12,0.03,27.74,53.78,0.01,0.15,12.71,0.01,0.02,0.33,0.1,2.431,0.0,1.478,0.012,0.002,0.616,0.449,0.009,0.003,57.0
